timestamp,unit_id,energy_mj,sensor_flag
2024-03-01 00:00:00,CHM-1,3404.6,OK
2024-03-01 00:00:00,CHM-2,4307.1,OK
2024-03-01 00:00:00,CHM-3,4317.2,OK
2024-03-01 01:00:00,CHM-1,4099.3,OK
2024-03-01 01:00:00,CHM-2,2939.6,OK
2024-03-01 01:00:00,CHM-3,3208.4,OK
2024-03-01 02:00:00,CHM-1,3753.5,OK
2024-03-01 02:00:00,CHM-2,2666.5,OK
2024-03-01 02:00:00,CHM-3,3533.5,OK
2024-03-01 03:00:00,CHM-1,2642.1,OK
2024-03-01 03:00:00,CHM-2,3431.4,OK
2024-03-01 03:00:00,CHM-3,2322.5,OK
2024-03-01 04:00:00,CHM-1,2829.5,OK
2024-03-01 04:00:00,CHM-2,2359.6,OK
2024-03-01 04:00:00,CHM-3,2157.3,OK
2024-03-01 05:00:00,CHM-1,1806.9,OK
2024-03-01 05:00:00,CHM-2,2556.3,OK
2024-03-01 05:00:00,CHM-3,2280.5,OK
2024-03-01 06:00:00,CHM-1,1888.5,OK
2024-03-01 06:00:00,CHM-2,2104.1,OK
2024-03-01 06:00:00,CHM-3,2516.0,OK
2024-03-01 07:00:00,CHM-1,2002.2,OK
2024-03-01 07:00:00,CHM-2,2320.9,OK
2024-03-01 07:00:00,CHM-3,1929.8,OK
2024-03-01 08:00:00,CHM-1,2197.6,OK
2024-03-01 08:00:00,CHM-2,2792.6,OK
2024-03-01 08:00:00,CHM-3,2733.3,OK
2024-03-01 09:00:00,CHM-1,2530.6,OK
2024-03-01 09:00:00,CHM-2,2395.3,OK
2024-03-01 09:00:00,CHM-3,2404.7,OK
2024-03-01 10:00:00,CHM-1,3380.7,OK
2024-03-01 10:00:00,CHM-2,3234.1,OK
2024-03-01 10:00:00,CHM-3,2947.0,OK
2024-03-01 11:00:00,CHM-1,3091.6,OK
2024-03-01 11:00:00,CHM-2,3661.1,OK
2024-03-01 11:00:00,CHM-3,3794.7,OK
2024-03-01 12:00:00,CHM-1,4048.7,OK
2024-03-01 12:00:00,CHM-2,3719.4,OK
2024-03-01 12:00:00,CHM-3,3171.3,OK
2024-03-01 13:00:00,CHM-1,2894.9,OK
2024-03-01 13:00:00,CHM-2,3829.7,OK
2024-03-01 13:00:00,CHM-3,3374.8,OK
2024-03-01 14:00:00,CHM-1,3527.3,OK
2024-03-01 14:00:00,CHM-2,2663.8,OK
2024-03-01 14:00:00,CHM-3,3642.6,OK
2024-03-01 15:00:00,CHM-1,2690.2,OK
2024-03-01 15:00:00,CHM-2,3273.9,OK
2024-03-01 15:00:00,CHM-3,3299.9,OK
2024-03-01 16:00:00,CHM-1,2513.0,OK
2024-03-01 12:00:00,CHM-2,-40.0,FAULT
2024-03-01 16:00:00,CHM-2,2031.6,OK
2024-03-01 16:00:00,CHM-3,2933.5,OK
2024-03-01 17:00:00,CHM-1,2235.4,OK
2024-03-01 17:00:00,CHM-2,2592.2,OK
2024-03-01 17:00:00,CHM-3,2045.5,OK
2024-03-01 18:00:00,CHM-1,1888.7,OK
2024-03-01 18:00:00,CHM-2,2446.5,OK
2024-03-01 18:00:00,CHM-3,2045.2,OK
2024-03-01 19:00:00,CHM-1,1952.7,OK
2024-03-01 19:00:00,CHM-2,2140.2,OK
2024-03-01 19:00:00,CHM-3,2342.1,OK
2024-03-01 20:00:00,CHM-1,2020.7,OK
2024-03-01 20:00:00,CHM-2,2540.0,OK
2024-03-01 20:00:00,CHM-3,2465.3,OK
2024-03-01 21:00:00,CHM-1,2898.0,OK
2024-03-01 21:00:00,CHM-2,2443.1,OK
2024-03-01 21:00:00,CHM-3,3127.2,OK
2024-03-01 22:00:00,CHM-1,3650.2,OK
2024-03-01 22:00:00,CHM-2,3713.7,OK
2024-03-01 22:00:00,CHM-3,3008.0,OK
2024-03-01 23:00:00,CHM-1,3799.5,OK
2024-03-01 23:00:00,CHM-2,3337.3,OK
2024-03-01 23:00:00,CHM-3,3855.7,OK
2024-03-02 00:00:00,CHM-1,2968.1,OK
2024-03-02 00:00:00,CHM-2,4136.8,OK
2024-03-02 00:00:00,CHM-3,4253.8,OK
2024-03-02 01:00:00,CHM-1,3496.3,OK
2024-03-02 01:00:00,CHM-2,3522.2,OK
2024-03-02 01:00:00,CHM-3,3546.3,OK
2024-03-02 02:00:00,CHM-1,3288.4,OK
2024-03-02 02:00:00,CHM-2,2618.8,OK
2024-03-02 02:00:00,CHM-3,3845.8,OK
2024-03-02 03:00:00,CHM-1,2561.7,OK
2024-03-02 03:00:00,CHM-2,2514.1,OK
2024-03-02 03:00:00,CHM-3,2422.3,OK
2024-03-02 04:00:00,CHM-1,2268.5,OK
2024-03-02 04:00:00,CHM-2,2839.7,OK
2024-03-02 04:00:00,CHM-3,2046.3,OK
2024-03-02 05:00:00,CHM-1,1892.2,OK
2024-03-02 05:00:00,CHM-2,2436.0,OK
2024-03-02 05:00:00,CHM-3,1981.3,OK
2024-03-02 06:00:00,CHM-1,1743.3,OK
2024-03-02 06:00:00,CHM-2,2245.9,OK
2024-03-02 06:00:00,CHM-3,2226.1,OK
2024-03-02 07:00:00,CHM-1,2277.1,OK
2024-03-02 07:00:00,CHM-2,2439.4,OK
2024-03-02 07:00:00,CHM-3,1898.0,OK
2024-03-02 08:00:00,CHM-1,2892.5,OK
2024-03-02 08:00:00,CHM-2,2738.8,OK
2024-03-02 08:00:00,CHM-3,2061.5,OK
2024-03-02 09:00:00,CHM-1,2445.8,OK
2024-03-02 09:00:00,CHM-2,2872.6,OK
2024-03-02 09:00:00,CHM-3,2880.9,OK
2024-03-02 10:00:00,CHM-1,2954.4,OK
2024-03-02 10:00:00,CHM-2,2750.2,OK
2024-03-02 10:00:00,CHM-3,3117.7,OK
2024-03-02 11:00:00,CHM-1,2994.8,OK
2024-03-02 11:00:00,CHM-2,3632.2,OK
2024-03-02 11:00:00,CHM-3,4009.6,OK
2024-03-02 12:00:00,CHM-1,3092.0,OK
2024-03-02 12:00:00,CHM-2,3704.9,OK
2024-03-02 12:00:00,CHM-3,3955.1,OK
