meter_ts,plant_code,kwh
2024-03-08 00:00:00,STL-001,1106.9
2024-03-08 00:00:00,STL-002,1096.9
2024-03-08 00:00:00,STL-003,1205.9
2024-03-08 00:00:00,STL-004,1219.9
2024-03-08 01:00:00,STL-001,1141.7
2024-03-08 01:00:00,STL-002,1103.3
2024-03-08 01:00:00,STL-003,1191.5
2024-03-08 01:00:00,STL-004,1053.5
2024-03-08 02:00:00,STL-001,1037.1
2024-03-08 02:00:00,STL-002,1071.5
2024-03-08 02:00:00,STL-003,1179.1
2024-03-08 02:00:00,STL-004,1111.2
2024-03-08 03:00:00,STL-001,1033.7
2024-03-08 03:00:00,STL-002,955.3
2024-03-08 03:00:00,STL-003,909.1
2024-03-08 03:00:00,STL-004,911.4
2024-03-08 04:00:00,STL-001,917.4
2024-03-08 04:00:00,STL-002,874.4
2024-03-08 04:00:00,STL-003,807.6
2024-03-08 04:00:00,STL-004,759.7
2024-03-08 05:00:00,STL-001,751.9
2024-03-08 05:00:00,STL-002,778.4
2024-03-08 05:00:00,STL-003,740.1
2024-03-08 05:00:00,STL-004,715.6
2024-03-08 06:00:00,STL-001,744.1
2024-03-08 06:00:00,STL-002,781.2
2024-03-08 06:00:00,STL-003,680.7
2024-03-08 06:00:00,STL-004,652.9
2024-03-08 07:00:00,STL-001,727.8
2024-03-08 07:00:00,STL-002,740.2
2024-03-08 07:00:00,STL-003,779.6
2024-03-08 07:00:00,STL-004,706.7
2024-03-08 08:00:00,STL-001,889.9
2024-03-08 08:00:00,STL-002,880.2
2024-03-08 08:00:00,STL-003,840.8
2024-03-08 08:00:00,STL-004,790.5
2024-03-08 09:00:00,STL-001,1050.2
2024-03-08 09:00:00,STL-002,923.8
2024-03-08 09:00:00,STL-003,1021.4
2024-03-08 09:00:00,STL-004,908.3
2024-03-08 10:00:00,STL-001,1019.8
2024-03-08 10:00:00,STL-002,1136.3
2024-03-08 10:00:00,STL-003,1035.7
2024-03-08 10:00:00,STL-004,1177.6
2024-03-08 11:00:00,STL-001,1166.9
2024-03-08 11:00:00,STL-002,1094.8
2024-03-08 11:00:00,STL-003,1103.2
2024-03-08 11:00:00,STL-004,1148.5
2024-03-08 12:00:00,STL-001,1239.7
2024-03-08 12:00:00,STL-002,1307.7
2024-03-08 12:00:00,STL-003,1115.1
2024-03-08 12:00:00,STL-004,1174.4
2024-03-08 13:00:00,STL-001,1100.8
2024-03-08 13:00:00,STL-002,1278.6
2024-03-08 13:00:00,STL-003,1084.2
2024-03-08 13:00:00,STL-004,1063.2
2024-03-08 14:00:00,STL-001,985.0
2024-03-08 14:00:00,STL-002,1057.0
2024-03-08 14:00:00,STL-003,1166.0
2024-03-08 14:00:00,STL-004,1162.9
2024-03-08 15:00:00,STL-001,1004.7
2024-03-08 15:00:00,STL-002,1055.5
2024-03-08 15:00:00,STL-003,1042.9
